date,date_number,country,state,fips,total_confirmed,total_deaths,total_recovered,total_hospitalized,total_tested,active,tests_rate,hospitalize_rate,mortality_rate,incident_rate
2020-04-12,0,US,Alabama,1.0,3563,93,,437.0,21583.0,3470.0,460.3001516,12.26494527,2.610159978,75.98802021
2020-04-12,0,US,Alaska,2.0,272,8,66.0,31.0,8038.0,264.0,1344.711576,11.39705882,2.9411764710000003,45.50404936
2020-04-12,0,US,Arizona,4.0,3542,115,,,42109.0,3427.0,578.5222863,,3.246753247,48.66242224
2020-04-12,0,US,Arkansas,5.0,1280,27,367.0,130.0,19722.0,1253.0,761.7533537,10.15625,2.109375,49.43942261
2020-04-12,0,US,California,6.0,22795,640,,5234.0,190328.0,22155.0,485.42386849999997,22.9611757,2.81202018,58.13772584
2020-04-12,0,US,Colorado,8.0,7307,289,,1376.0,34873.0,7018.0,615.3899908,18.8312577,3.955111537,128.943729
2020-04-12,0,US,Connecticut,9.0,12035,554,,1654.0,41220.0,11481.0,1156.148159,13.74324886,4.6032405480000005,337.56048250000003
2020-04-12,0,US,Delaware,10.0,1625,35,191.0,190.0,11103.0,1590.0,1140.214672,11.69230769,2.153846154,166.8782169
2020-04-12,0,US,Diamond Princess,888.0,49,0,0.0,,,49.0,,,0.0,
2020-04-12,0,US,District of Columbia,11.0,1875,50,493.0,,10640.0,1825.0,1507.618148,,2.666666667,265.6751905
2020-04-12,0,US,Florida,12.0,19895,461,,2772.0,182753.0,19434.0,860.7186513,13.93314903,2.317165117,93.70022691
2020-04-12,0,US,Georgia,13.0,12452,433,,2505.0,54453.0,12019.0,537.0439828,20.11725024,3.4773530360000002,122.80814050000001
2020-04-12,0,US,Grand Princess,999.0,103,0,0.0,,,103.0,,,0.0,
2020-04-12,0,US,Guam,66.0,133,5,58.0,13.0,826.0,128.0,502.95623789999996,9.77443609,3.759398496,80.98447899
2020-04-12,0,US,Hawaii,15.0,499,9,300.0,44.0,17968.0,490.0,1269.118355,8.817635271,1.8036072140000001,35.24543964
2020-04-12,0,US,Idaho,16.0,1407,27,,131.0,14308.0,1380.0,888.4214004,9.310589907999999,1.918976546,87.36433536
2020-04-12,0,US,Illinois,17.0,20852,720,,3680.0,100735.0,20132.0,858.3672336000001,17.64818722,3.4529061960000003,177.68078180000003
2020-04-12,0,US,Indiana,18.0,7928,343,,,42489.0,7585.0,649.2823801,,4.326437941,121.14925530000001
2020-04-12,0,US,Iowa,19.0,1587,41,674.0,129.0,17592.0,1546.0,671.2677046,8.128544423,2.583490863,60.55603952
2020-04-12,0,US,Kansas,20.0,1344,56,,298.0,13253.0,1288.0,543.4925249,22.17261905,4.166666667,55.11612114
2020-04-12,0,US,Kentucky,21.0,1963,97,464.0,459.0,24567.0,1866.0,717.6402439,23.38257769,4.941416200000001,57.34228025
2020-04-12,0,US,Louisiana,22.0,20595,840,,2084.0,104045.0,19755.0,2263.19295,10.11896091,4.078659869,447.9836494
2020-04-12,0,US,Maine,23.0,633,19,266.0,120.0,6721.0,614.0,572.4842974,18.95734597,3.0015797789999996,53.91795272
2020-04-12,0,US,Maryland,24.0,8225,236,456.0,1860.0,49764.0,7989.0,837.3076732000001,22.61398176,2.869300912,138.3903145
2020-04-12,0,US,Massachusetts,25.0,25475,756,,2235.0,116730.0,24719.0,1700.668379,8.773307164,2.9676153089999997,371.1516059
2020-04-12,0,US,Michigan,26.0,24244,1479,433.0,3636.0,79437.0,22765.0,997.0430232000001,14.99752516,6.100478469,304.2953668
2020-04-12,0,US,Minnesota,27.0,1621,70,842.0,361.0,37421.0,1551.0,756.5229662,22.27020358,4.318322023,32.77100367
2020-04-12,0,US,Mississippi,28.0,2781,96,,548.0,21413.0,2685.0,739.6019489,19.70514204,3.451995685,96.05534114
2020-04-12,0,US,Missouri,29.0,4269,118,,988.0,45200.0,4151.0,771.4026695,23.14359335,2.764113375,72.85659283
2020-04-12,0,US,Montana,30.0,387,6,169.0,47.0,8913.0,381.0,1029.230231,12.14470284,1.5503875969999998,44.68889256
2020-04-12,0,US,Nebraska,31.0,791,17,,,10691.0,774.0,700.924163,,2.149178255,51.85960275
2020-04-12,0,US,Nevada,32.0,2836,112,,282.0,24611.0,2724.0,815.8260508,9.943582511,3.94922426,94.01010443
2020-04-12,0,US,New Hampshire,33.0,929,23,236.0,146.0,10925.0,906.0,822.5739902,15.71582347,2.475780409,69.94702398
